"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"5",1,"1_8d7229bf",-4,4,"Left_lead",0,0,0.999295876307413,-0.000704123692587433,"0",0.2224614678977,"Male",0,102,"8d7229bf"
"13",1,"1_8d7229bf",0,0,"Left_lead",0,0,0.99482225837127,-0.00517774162873041,"0",0.11051443584674,"Male",1,11,"8d7229bf"
"30",1,"1_8d7229bf",3,3,"Left_lead",0,0,1.05314255554889,0.0531425555488898,"0",0.237848337893135,"Male",0,125,"8d7229bf"
"37",1,"1_8d7229bf",4,4,"Left_lead",0,0,0.83877170585974,-0.16122829414026,"0",0.125612478086585,"Male",1,17,"8d7229bf"
"41",1,"1_8d7229bf",-1,1,"Left_lead",0,0,0.99499987297003,-0.00500012702996988,"0",0.171114477978835,"Male",0,20,"8d7229bf"
"43",1,"1_8d7229bf",4,4,"Left_lead",0,0,1.13882022072704,0.138820220727038,"0",0.158541350702525,"Male",0,22,"8d7229bf"
"53",1,"1_8d7229bf",-1,1,"Left_lead",0,0,0.972194560301732,-0.0278054396982675,"0",0.129878313221075,"Male",0,31,"8d7229bf"
"56",1,"1_8d7229bf",-3,3,"Left_lead",0,0,0.985250176013881,-0.0147498239861187,"0",0.14534195905829,"Male",0,34,"8d7229bf"
"59",1,"1_8d7229bf",-2,2,"Left_lead",0,0,1.0156384052164,0.015638405216402,"0",0.15677421595,"Male",0,37,"8d7229bf"
"66",1,"1_8d7229bf",2,2,"Left_lead",0,0,1.13386695399012,0.133866953990125,"0",0.194827502158805,"Male",1,43,"8d7229bf"
"72",1,"1_8d7229bf",-1,1,"Left_lead",0,0,0.995368625521392,-0.00463137447860806,"0",0.1331508802061,"Male",0,49,"8d7229bf"
"74",1,"1_8d7229bf",-3,3,"Left_lead",0,0,0.944849951473308,-0.0551500485266925,"0",0.141967101782625,"Male",0,50,"8d7229bf"
"82",1,"1_8d7229bf",-2,2,"Left_lead",0,0,0.993227106759213,-0.00677289324078723,"0",0.1505359450189,"Male",0,58,"8d7229bf"
"87",1,"1_8d7229bf",-2,2,"Left_lead",0,0,0.958631196965398,-0.0413688030346022,"0",0.17562899083926,"Male",1,62,"8d7229bf"
"91",1,"1_8d7229bf",2,2,"Left_lead",0,0,1.0343892172779,0.0343892172779003,"0",0.170579224268726,"Male",0,66,"8d7229bf"
"99",1,"1_8d7229bf",0,0,"Left_lead",0,0,1.04905765501132,0.04905765501132,"0",0.20146777510935,"Male",0,73,"8d7229bf"
