"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"1",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,NA,NA,"Male",1,1,"8d7229bf"
"2",1,"1_8d7229bf",-3,3,"Right_lead",NA,NA,NA,NA,NA,0.098282925329451,"Male",0,10,"8d7229bf"
"3",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,NA,0.23397202731669,"Male",0,100,"8d7229bf"
"4",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,NA,0.22858059247338,"Male",0,101,"8d7229bf"
"5",1,"1_8d7229bf",-4,4,"Left_lead",0,0,0.999295876307413,-0.000704123692587433,"0",0.2224614678977,"Male",0,102,"8d7229bf"
"6",1,"1_8d7229bf",2,2,"Agree",NA,NA,NA,NA,NA,0.238414893056955,"Male",0,103,"8d7229bf"
"7",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,NA,0.25152589968869,"Male",0,104,"8d7229bf"
"8",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,NA,0.254078761210946,"Male",1,105,"8d7229bf"
"9",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,NA,0.2644722557402,"Male",0,106,"8d7229bf"
"10",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,NA,0.271169316924792,"Male",0,107,"8d7229bf"
"11",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,NA,0.263048277957805,"Male",0,108,"8d7229bf"
"12",1,"1_8d7229bf",0,0,"Agree",NA,NA,NA,NA,NA,0.28726912951395,"Male",0,109,"8d7229bf"
"13",1,"1_8d7229bf",0,0,"Left_lead",0,0,0.99482225837127,-0.00517774162873041,"0",0.11051443584674,"Male",1,11,"8d7229bf"
"14",1,"1_8d7229bf",-3,3,"Agree",NA,NA,NA,NA,NA,0.2765497782533,"Male",0,110,"8d7229bf"
"15",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,NA,0.232142381851406,"Male",1,111,"8d7229bf"
"16",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,NA,0.22038272808615,"Male",0,112,"8d7229bf"
"17",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,NA,0.197031544032595,"Male",0,113,"8d7229bf"
"18",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,NA,0.179064202053365,"Male",0,114,"8d7229bf"
"19",1,"1_8d7229bf",4,4,"Agree",NA,NA,NA,NA,NA,0.195772467842,"Male",0,115,"8d7229bf"
"20",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,NA,0.203734649323035,"Male",0,116,"8d7229bf"
"21",1,"1_8d7229bf",0,0,"Right_lead",NA,NA,NA,NA,NA,0.20306078531678,"Male",0,117,"8d7229bf"
"22",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,NA,0.208091977814475,"Male",0,118,"8d7229bf"
"23",1,"1_8d7229bf",1,1,"Agree",NA,NA,NA,NA,NA,0.21144300693541,"Male",0,119,"8d7229bf"
