"","X","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","confidence","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"5",5,1,"1_8d7229bf",-4,4,"Left_lead",0,0,0.93392233535868,-0.0660776646413197,-1,0,0.216888910204268,"Male",0,102,"8d7229bf"
"13",13,1,"1_8d7229bf",0,0,"Left_lead",0,0,1.65005292607803,0.650052926078033,1,0,0.130924365724844,"Male",1,11,"8d7229bf"
"30",30,1,"1_8d7229bf",3,3,"Left_lead",0,0,0.962288228580225,-0.0377117714197746,-1,0,0.189058970828447,"Male",0,125,"8d7229bf"
"37",37,1,"1_8d7229bf",4,4,"Left_lead",0,0,1.22834843874757,0.22834843874757,1,0,0.129911697903791,"Male",1,17,"8d7229bf"
"41",41,1,"1_8d7229bf",-1,1,"Left_lead",0,0,1.7715505015266,0.771550501526602,-1,0,0.176521108560658,"Male",0,20,"8d7229bf"
"43",43,1,"1_8d7229bf",4,4,"Left_lead",0,0,1.04090546901178,0.0409054690117832,-1,0,0.126427401129772,"Male",0,22,"8d7229bf"
"53",53,1,"1_8d7229bf",-1,1,"Left_lead",0,0,0.946035563852867,-0.0539644361471326,-1,0,0.121356407460586,"Male",0,31,"8d7229bf"
"56",56,1,"1_8d7229bf",-3,3,"Left_lead",0,0,1.05986445675013,0.0598644567501263,-1,0,0.150903790116364,"Male",0,34,"8d7229bf"
"59",59,1,"1_8d7229bf",-2,2,"Left_lead",0,0,1.11064710764678,0.110647107646781,-1,0,0.157005258319469,"Male",0,37,"8d7229bf"
"66",66,1,"1_8d7229bf",2,2,"Left_lead",0,0,1.37658521912231,0.376585219122306,1,0,0.176918099073454,"Male",1,43,"8d7229bf"
"72",72,1,"1_8d7229bf",-1,1,"Left_lead",0,0,1.10049419889611,0.100494198896107,-1,0,0.134784164010927,"Male",0,49,"8d7229bf"
"74",74,1,"1_8d7229bf",-3,3,"Left_lead",0,0,1.20520025529903,0.205200255299033,-2,0,0.163338824012146,"Male",0,50,"8d7229bf"
"82",82,1,"1_8d7229bf",-2,2,"Left_lead",0,0,1.38063578099343,0.380635780993426,-2,0,0.166352354801642,"Male",0,58,"8d7229bf"
"87",87,1,"1_8d7229bf",-2,2,"Left_lead",0,0,1.09767406018693,0.0976740601869295,1,0,0.175624992835383,"Male",1,62,"8d7229bf"
"91",91,1,"1_8d7229bf",2,2,"Left_lead",0,0,0.986392836697702,-0.0136071633022976,-1,0,0.156232671350569,"Male",0,66,"8d7229bf"
"99",99,1,"1_8d7229bf",0,0,"Left_lead",0,0,0.941904417536256,-0.0580955824637438,-1,0,0.160642810793485,"Male",0,73,"8d7229bf"
"114",114,1,"1_8d7229bf",3,3,"Left_lead",0,0,0.823416580392255,-0.176583419607745,-3,0,0.152888734525721,"Male",0,87,"8d7229bf"
"121",121,1,"1_8d7229bf",-4,4,"Left_lead",0,0,0.794934314882557,-0.205065685117443,1,1,0.164423585591214,"Male",1,93,"8d7229bf"
"125",125,1,"1_8d7229bf",-1,1,"Left_lead",0,0,0.878125637320878,-0.121874362679122,1,0,0.187367597869932,"Male",1,97,"8d7229bf"
"129",129,10,"10_621aac02",-1,1,"Left_lead",0,0,1.32587377307561,0.325873773075612,2,0,0.0875680855941798,"Male",1,10,"621aac02"
"132",132,10,"10_621aac02",2,2,"Left_lead",0,0,0.878450543369496,-0.121549456630504,2,1,0.202573043445845,"Male",1,102,"621aac02"
"136",136,10,"10_621aac02",1,1,"Left_lead",0,0,1.0059163625743,0.00591636257429995,-2,1,0.257730157722725,"Male",0,106,"621aac02"
"137",137,10,"10_621aac02",2,2,"Left_lead",0,0,1.08410018803806,0.0841001880380561,2,0,0.24519223496678,"Male",1,107,"621aac02"
"138",138,10,"10_621aac02",1,1,"Left_lead",0,0,1.06377762736045,0.0637776273604476,2,0,0.235411617141405,"Male",1,108,"621aac02"
"140",140,10,"10_621aac02",3,3,"Left_lead",0,0,1.18260356943214,0.182603569432138,2,0,0.0949018166857899,"Male",1,11,"621aac02"
"142",142,10,"10_621aac02",-1,1,"Left_lead",0,0,1.18686699173093,0.186866991730926,2,0,0.211800344975205,"Male",1,111,"621aac02"
"148",148,10,"10_621aac02",-1,1,"Left_lead",0,0,0.991216944972825,-0.00878305502717469,3,0,0.167444413652366,"Male",1,117,"621aac02"
"150",150,10,"10_621aac02",-3,3,"Left_lead",0,0,1.0304523747246,0.0304523747245957,-2,1,0.188351152602086,"Male",0,119,"621aac02"
"151",151,10,"10_621aac02",2,2,"Left_lead",0,0,1.05796772214214,0.0579677221421415,-1,1,0.114705260728754,"Male",0,12,"621aac02"
"152",152,10,"10_621aac02",-2,2,"Left_lead",0,0,0.982227263341006,-0.0177727366589938,2,0,0.194809314414713,"Male",1,120,"621aac02"
"161",161,10,"10_621aac02",4,4,"Left_lead",0,0,0.876413069748592,-0.123586930251408,-2,1,0.114586558082531,"Male",0,14,"621aac02"
"162",162,10,"10_621aac02",2,2,"Left_lead",0,0,0.825552722028519,-0.174447277971481,-2,1,0.116281869849777,"Male",0,15,"621aac02"
"163",163,10,"10_621aac02",4,4,"Left_lead",0,0,0.922390518132621,-0.0776094818673794,1,1,0.108403677600841,"Male",1,16,"621aac02"
"169",169,10,"10_621aac02",4,4,"Left_lead",0,0,0.714921430160656,-0.285078569839344,-2,1,0.0962532335257875,"Male",0,21,"621aac02"
"172",172,10,"10_621aac02",-2,2,"Left_lead",0,0,0.777215806972537,-0.222784193027463,2,0,0.123661674008106,"Male",1,24,"621aac02"
