"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","confidence","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"1",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,1,NA,NA,"Male",1,1,"8d7229bf"
"2",1,"1_8d7229bf",-3,3,"Right_lead",NA,NA,NA,NA,-1,NA,0.119828723210619,"Male",0,10,"8d7229bf"
"3",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,-1,NA,0.214514528451932,"Male",0,100,"8d7229bf"
"4",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-2,NA,0.208770162431787,"Male",0,101,"8d7229bf"
"5",1,"1_8d7229bf",-4,4,"Left_lead","0","0",0.93392233535868,-0.0660776646413197,-1,"0",0.216888910204268,"Male",0,102,"8d7229bf"
"6",1,"1_8d7229bf",2,2,"Agree",NA,NA,NA,NA,-1,NA,0.241427638340511,"Male",0,103,"8d7229bf"
"7",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,-1,NA,0.232828115577361,"Male",0,104,"8d7229bf"
"8",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,1,NA,0.226986322374618,"Male",1,105,"8d7229bf"
"9",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-1,NA,0.250156313357558,"Male",0,106,"8d7229bf"
"10",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,-2,NA,0.21788419475349,"Male",0,107,"8d7229bf"
"11",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-1,NA,0.218905443290229,"Male",0,108,"8d7229bf"
"12",1,"1_8d7229bf",0,0,"Agree",NA,NA,NA,NA,-2,NA,0.199222839717849,"Male",0,109,"8d7229bf"
"13",1,"1_8d7229bf",0,0,"Left_lead","0","0",1.65005292607803,0.650052926078033,1,"0",0.130924365724844,"Male",1,11,"8d7229bf"
"14",1,"1_8d7229bf",-3,3,"Agree",NA,NA,NA,NA,-1,NA,0.189625759614184,"Male",0,110,"8d7229bf"
"15",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,1,NA,0.170107672462977,"Male",1,111,"8d7229bf"
"16",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,-1,NA,0.143849705037874,"Male",0,112,"8d7229bf"
"17",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,-1,NA,0.155406285664184,"Male",0,113,"8d7229bf"
"18",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,-1,NA,0.157927594814098,"Male",0,114,"8d7229bf"
"19",1,"1_8d7229bf",4,4,"Agree",NA,NA,NA,NA,-1,NA,0.13764433377272,"Male",0,115,"8d7229bf"
"20",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-1,NA,0.160607052458849,"Male",0,116,"8d7229bf"
"21",1,"1_8d7229bf",0,0,"Right_lead",NA,NA,NA,NA,-1,NA,0.165216913404393,"Male",0,117,"8d7229bf"
"22",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,-1,NA,0.163159740350357,"Male",0,118,"8d7229bf"
"23",1,"1_8d7229bf",1,1,"Agree",NA,NA,NA,NA,-1,NA,0.178009351696469,"Male",0,119,"8d7229bf"
"24",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-1,NA,0.153705344609273,"Male",0,12,"8d7229bf"
"25",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-1,NA,0.193495737529528,"Male",0,120,"8d7229bf"
"26",1,"1_8d7229bf",1,1,"Agree",NA,NA,NA,NA,-3,NA,0.18506792220965,"Male",0,121,"8d7229bf"
"27",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,-1,NA,0.203245717088433,"Male",0,122,"8d7229bf"
"28",1,"1_8d7229bf",2,2,"Agree",NA,NA,NA,NA,-1,NA,0.183320982097253,"Male",0,123,"8d7229bf"
"29",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,-1,NA,0.206480802928947,"Male",0,124,"8d7229bf"
"30",1,"1_8d7229bf",3,3,"Left_lead","0","0",0.962288228580225,-0.0377117714197746,-1,"0",0.189058970828447,"Male",0,125,"8d7229bf"
"31",1,"1_8d7229bf",-3,3,"Agree",NA,NA,NA,NA,-1,NA,0.143605112412248,"Male",0,126,"8d7229bf"
"32",1,"1_8d7229bf",0,0,"Agree",NA,NA,NA,NA,1,NA,0.183951067132095,"Male",1,127,"8d7229bf"
"33",1,"1_8d7229bf",-3,3,"Agree",NA,NA,NA,NA,-1,NA,0.176122288103026,"Male",0,13,"8d7229bf"
"34",1,"1_8d7229bf",-1,1,"Agree",NA,NA,NA,NA,-1,NA,0.1543854086827,"Male",0,14,"8d7229bf"
"35",1,"1_8d7229bf",-2,2,"Agree",NA,NA,NA,NA,-1,NA,0.158035544256371,"Male",0,15,"8d7229bf"
"36",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,-1,NA,0.141738656358856,"Male",0,16,"8d7229bf"
"37",1,"1_8d7229bf",4,4,"Left_lead","0","0",1.22834843874757,0.22834843874757,1,"0",0.129911697903791,"Male",1,17,"8d7229bf"
"38",1,"1_8d7229bf",-1,1,"Right_lead",NA,NA,NA,NA,-1,NA,0.142733229700696,"Male",0,18,"8d7229bf"
"39",1,"1_8d7229bf",2,2,"Agree",NA,NA,NA,NA,-1,NA,0.15399849299663,"Male",0,19,"8d7229bf"
"40",1,"1_8d7229bf",4,4,"Right_lead",NA,NA,NA,NA,1,NA,NA,"Male",1,2,"8d7229bf"
"41",1,"1_8d7229bf",-1,1,"Left_lead","0","0",1.7715505015266,0.771550501526602,-1,"0",0.176521108560658,"Male",0,20,"8d7229bf"
"42",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,1,NA,0.161803224613428,"Male",1,21,"8d7229bf"
"43",1,"1_8d7229bf",4,4,"Left_lead","0","0",1.04090546901178,0.0409054690117832,-1,"0",0.126427401129772,"Male",0,22,"8d7229bf"
"44",1,"1_8d7229bf",2,2,"Agree",NA,NA,NA,NA,-1,NA,0.1061247960477,"Male",0,23,"8d7229bf"
"45",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,-1,NA,0.0841745814513159,"Male",0,24,"8d7229bf"
"46",1,"1_8d7229bf",3,3,"Agree",NA,NA,NA,NA,1,NA,0.0772400845047262,"Male",1,25,"8d7229bf"
"47",1,"1_8d7229bf",-4,4,"Agree",NA,NA,NA,NA,-1,NA,0.116902763528325,"Male",0,26,"8d7229bf"
"48",1,"1_8d7229bf",-1,1,"Right_lead",NA,NA,NA,NA,-1,NA,0.112080287880863,"Male",0,27,"8d7229bf"
