"","SubjectID_unique","Trial","SubjectID","Gender","Age","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response","Joint","Correct","Correct_joint","RT","RT_joint","Round","Block","group_id","diff","response_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Sensitivity_roll","skill_dif_roll","skill_dif_roll_c","Response_abs","z_Response_abs","conf_dif","conf_dif_c","Side"
"3","3_1",13,"3","Male",24,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,1,0,1,1.989,4.514,1,"rød","3_1",7,0,1,"Left_lead","Male","Male",1,0.208753747126687,1.00295323887333,0.0029532388733251,2,-0.267273026697222,1,0,"left"
"4","3_1",15,"3","Male",24,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,1,0,0,1.078,1.666,1,"rød","3_1",-2,1,1,"Left_lead","Male","Male",0,0.231161496453535,0.964920033842101,-0.0350799661578992,2,-0.267273026697222,2,1,"left"
"6","3_1",17,"3","Male",24,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-1,1,0,1.457,1.951,1,"rød","3_1",1,1,0,"Left_lead","Male","Male",1,0.22836403679227,0.942423542036533,-0.0575764579634669,2,-0.267273026697222,1,0,"left"
"7","3_1",19,"3","Male",24,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,-1,0,1,1.322,3.525,1,"rød","3_1",-1,1,0,"Left_lead","Male","Male",1,0.239508803189642,0.994655656030892,-0.00534434396910821,2,-0.267273026697222,1,0,"left"
"10","3_1",22,"3","Male",24,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,1,0,0,1.607,1.824,1,"rød","3_1",-3,1,1,"Left_lead","Male","Male",0,0.255607633780135,0.987578466360435,-0.0124215336395646,3,0.75727357564213,1.5,0.5,"left"
"11","3_1",23,"3","Male",24,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,-1,1,0,1.577,1.044,1,"rød","3_1",1,1,0,"Left_lead","Male","Male",1,0.256294087042204,0.995989930438518,-0.00401006956148153,1,-1.29181962903657,0.5,-0.5,"left"
"12","3_1",24,"3","Male",24,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,-1,0,1,2.765,1.33,1,"rød","3_1",-2,1,0,"Left_lead","Male","Male",1,0.26312212312285,0.991917427704315,-0.00808257229568521,2,-0.267273026697222,1,0,"left"
"13","3_1",25,"3","Male",24,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,1,1,1,1.327,1.14,1,"rød","3_1",1,1,1,"Left_lead","Male","Male",0,0.270069023973785,0.998478053684491,-0.00152194631550895,4,1.78182017798148,2,1,"left"
"15","3_1",29,"3","Male",24,"Stim\r12y07g07b17.jpeg","Stim\r09y17g32b21.jpeg",12,9,7,17,7,32,17,21,-2,1,0,1,2.47,1.474,1,"blå","3_1",4,0,1,"Left_lead","Male","Male",1,0.237488126509546,0.984319336501791,-0.0156806634982093,2,-0.267273026697222,0.666666666666667,-0.333333333333333,"left"
"16","3_1",33,"3","Male",24,"Stim\r21y31g06b08.jpeg","Stim\r22y35g09b11.jpeg",21,22,31,35,6,9,8,11,4,1,1,1,1.193,1.563,1,"blå","3_1",3,1,1,"Left_lead","Male","Male",0,0.21225756581105,0.961208985919402,-0.0387910140805978,4,1.78182017798148,2,1,"left"
