,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,25_KK,27,Female,Male,24,23,Stim\r16y21g04b04.jpeg,Stim\r10y27g22b14.jpeg,16,10,21,27,04,22,04,14,-2,-2,0,0,1,1,0,2.494,6.192,0,0,1,rød
1,25_KK,27,Female,Male,24,23,Stim\r08y12g20b03.jpeg,Stim\r05y09g02b34.jpeg,08,05,12,09,20,02,03,34,-4,3,0,1,1,0,0,1.827,5.751,0,3.391,1,rød
2,25_KK,27,Female,Male,24,23,Stim\r02y10g14b11.jpeg,Stim\r06y14g31b25.jpeg,02,06,10,14,14,31,11,25,3,2,0,0,1,1,0,2.31,5.844,0,0,1,rød
3,25_KK,27,Female,Male,24,23,Stim\r02y19g24b04.jpeg,Stim\r10y13g07b36.jpeg,02,10,19,13,24,07,04,36,4,-3,1,0,1,0,1,1.911,5.24,2.199,0,1,rød
4,25_KK,27,Female,Male,24,23,Stim\r21y31g06b08.jpeg,Stim\r19y15g35b05.jpeg,21,19,31,15,06,35,08,05,3,4,0,0,0,0,0,2.05,2.562,0,0,1,rød
5,25_KK,27,Female,Male,24,23,Stim\r16y09g06b10.jpeg,Stim\r14y12g04b29.jpeg,16,14,09,12,06,04,10,29,2,3,0,0,0,0,0,1.96,3.523,0,0,1,rød
6,25_KK,27,Female,Male,24,23,Stim\r01y27g01b01.jpeg,Stim\r03y11g01b26.jpeg,01,03,27,11,01,01,01,26,1,-3,-1,0,1,0,0,2.699,4.797,1.623,0,1,rød
7,25_KK,27,Female,Male,24,23,Stim\r07y14g27b22.jpeg,Stim\r09y07g06b09.jpeg,07,09,14,07,27,06,22,09,1,3,0,0,1,1,0,1.52,3.117,0,0,1,rød
8,25_KK,27,Female,Male,24,23,Stim\r10y03g03b07.jpeg,Stim\r13y33g08b23.jpeg,10,13,03,33,03,08,07,23,2,-3,0,-1,1,0,0,1.1,2.198,0,3.236,1,rød
9,25_KK,27,Female,Male,24,23,Stim\r14y10g15b15.jpeg,Stim\r18y19g14b27.jpeg,14,18,10,19,15,14,15,27,2,3,0,0,1,1,0,2.27,2.484,0,0,1,rød
10,25_KK,27,Female,Male,24,23,Stim\r04y28g27b06.jpeg,Stim\r08y09g09b11.jpeg,04,08,28,09,27,09,06,11,2,3,0,0,1,1,0,1.122,2.365,0,0,1,rød
11,25_KK,27,Female,Male,24,23,Stim\r18y19g14b27.jpeg,Stim\r22y35g09b11.jpeg,18,22,19,35,14,09,27,11,4,4,0,0,1,1,0,1.816,2.399,0,0,1,rød
12,25_KK,27,Female,Male,24,23,Stim\r06y36g16b14.jpeg,Stim\r08y09g09b11.jpeg,06,08,36,09,16,09,14,11,2,3,0,0,1,1,0,1.036,1.896,0,0,1,rød
13,25_KK,27,Female,Male,24,23,Stim\r04y39g24b15.jpeg,Stim\r01y27g01b01.jpeg,04,01,39,27,24,01,15,01,-2,-4,0,0,1,1,0,1.03,1.86,0,0,1,rød
14,25_KK,27,Female,Male,24,23,Stim\r13y21g23b09.jpeg,Stim\r09y06g26b32.jpeg,13,09,21,06,23,26,09,32,2,-3,-1,0,0,1,1,1.487,2.168,2.167,0,1,rød
15,25_KK,27,Female,Male,24,23,Stim\r08y23g10b29.jpeg,Stim\r17y11g38b07.jpeg,08,17,23,11,10,38,29,07,3,4,0,0,1,1,0,1.334,2.13,0,0,1,rød
16,25_KK,27,Female,Male,24,23,Stim\r07y02g03b06.jpeg,Stim\r14y08g21b39.jpeg,07,14,02,08,03,21,06,39,2,4,0,0,1,1,0,1.569,2.064,0,0,1,rød
17,25_KK,27,Female,Male,24,23,Stim\r10y02g36b05.jpeg,Stim\r14y20g16b10.jpeg,10,14,02,20,36,16,05,10,2,2,0,0,1,1,0,1.038,2.848,0,0,1,rød
18,25_KK,27,Female,Male,24,23,Stim\r10y37g07b02.jpeg,Stim\r09y06g26b32.jpeg,10,09,37,06,07,26,02,32,4,4,0,0,0,0,0,1.672,1.668,0,0,1,rød
19,25_KK,27,Female,Male,24,23,Stim\r13y33g08b23.jpeg,Stim\r17y20g40b07.jpeg,13,17,33,20,08,40,23,07,2,3,0,0,1,1,0,1.097,1.575,0,0,1,rød
20,25_KK,27,Female,Male,24,23,Stim\r06y19g29b08.jpeg,Stim\r14y20g16b10.jpeg,06,14,19,20,29,16,08,10,3,2,0,0,1,1,0,1.223,2.053,0,0,1,rød
