,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,25_kk,28,Female,Female,24,23,Stim\r06y36g16b14.jpeg,Stim\r12y07g07b17.jpeg,06,12,36,07,16,07,14,17,2,2,0,0,1,1,0,1.214,1.526,0,0,2,rød
1,25_kk,28,Female,Female,24,23,Stim\r07y06g08b05.jpeg,Stim\r16y09g06b10.jpeg,07,16,06,09,08,06,05,10,3,-1,1,0,1,0,1,1.114,1.043,2.14,0,2,rød
2,25_kk,28,Female,Female,24,23,Stim\r12y07g16b25.jpeg,Stim\r18y13g28b06.jpeg,12,18,07,13,16,28,25,06,1,1,0,0,1,1,0,1.724,1.72,0,0,2,rød
3,25_kk,28,Female,Female,24,23,Stim\r21y31g06b08.jpeg,Stim\r17y07g07b24.jpeg,21,17,31,07,06,07,08,24,2,2,0,0,0,0,0,0.957,0.985,0,0,2,rød
4,25_kk,28,Female,Female,24,23,Stim\r02y10g14b11.jpeg,Stim\r05y40g33b16.jpeg,02,05,10,40,14,33,11,16,1,-1,0,1,1,0,1,0.908,1.136,0,2.901,2,rød
5,25_kk,28,Female,Female,24,23,Stim\r03y03g02b05.jpeg,Stim\r07y06g08b05.jpeg,03,07,03,06,02,08,05,05,2,2,0,0,1,1,0,1.049,1.011,0,0,2,rød
6,25_kk,28,Female,Female,24,23,Stim\r14y20g16b10.jpeg,Stim\r15y16g12b03.jpeg,14,15,20,16,16,12,10,03,2,-2,-1,0,1,0,0,0.916,1.195,1.378,0,2,rød
7,25_kk,28,Female,Female,24,23,Stim\r08y23g10b29.jpeg,Stim\r12y07g07b17.jpeg,08,12,23,07,10,07,29,17,2,1,0,0,1,1,0,1.154,0.999,0,0,2,rød
8,25_kk,28,Female,Female,24,23,Stim\r11y14g08b23.jpeg,Stim\r17y07g07b24.jpeg,11,17,14,07,08,07,23,24,2,2,0,0,1,1,0,1.164,1.01,0,0,2,rød
9,25_kk,28,Female,Female,24,23,Stim\r07y14g27b22.jpeg,Stim\r11y10g06b19.jpeg,07,11,14,10,27,06,22,19,-2,2,0,1,0,1,1,0.987,1.226,0,2.982,2,rød
10,25_kk,28,Female,Female,24,23,Stim\r06y14g31b25.jpeg,Stim\r04y39g24b15.jpeg,06,04,14,39,31,24,25,15,-1,-1,0,0,1,1,0,1.939,1.602,0,0,2,rød
11,25_kk,28,Female,Female,24,23,Stim\r05y40g33b16.jpeg,Stim\r08y12g20b03.jpeg,05,08,40,12,33,20,16,03,1,1,0,0,1,1,0,0.763,0.925,0,0,2,rød
12,25_kk,28,Female,Female,24,23,Stim\r20y14g02b19.jpeg,Stim\r11y26g25b38.jpeg,20,11,14,26,02,25,19,38,-3,-2,0,0,1,1,0,0.997,0.96,0,0,2,rød
13,25_kk,28,Female,Female,24,23,Stim\r17y11g38b07.jpeg,Stim\r21y01g04b27.jpeg,17,21,11,01,38,04,07,27,1,2,0,0,1,1,0,0.902,1.281,0,0,2,rød
14,25_kk,28,Female,Female,24,23,Stim\r22y23g20b06.jpeg,Stim\r18y19g14b27.jpeg,22,18,23,19,20,14,06,27,-4,-2,0,0,1,1,0,1.328,0.891,0,0,2,rød
15,25_kk,28,Female,Female,24,23,Stim\r03y11g01b26.jpeg,Stim\r06y19g29b08.jpeg,03,06,11,19,01,29,26,08,1,2,0,0,1,1,0,1.179,1.014,0,0,2,rød
16,25_kk,28,Female,Female,24,23,Stim\r19y15g35b05.jpeg,Stim\r15y05g12b10.jpeg,19,15,15,05,35,12,05,10,-2,-2,0,0,1,1,0,1.053,0.986,0,0,2,rød
