,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,44,42,Female,Female,24,24,Stim\r06y19g29b08.jpeg,Stim\r05y40g33b16.jpeg,06,05,19,40,29,33,08,16,1,-2,0,1,0,1,0,3.404,3.282,0,4.344,1,rød
1,44,42,Female,Female,24,24,Stim\r07y02g03b06.jpeg,Stim\r11y26g25b38.jpeg,07,11,02,26,03,25,06,38,2,1,0,0,1,1,0,3.062,4.275,0,0.0,1,rød
2,44,42,Female,Female,24,24,Stim\r11y14g08b23.jpeg,Stim\r09y15g18b07.jpeg,11,09,14,15,08,18,23,07,2,2,0,0,0,0,0,4.036,2.031,0,0.0,1,rød
3,44,42,Female,Female,24,24,Stim\r17y11g38b07.jpeg,Stim\r09y15g18b07.jpeg,17,09,11,15,38,18,07,07,-2,-3,0,0,1,1,0,2.532,2.777,0,0.0,1,rød
4,44,42,Female,Female,24,24,Stim\r09y07g06b09.jpeg,Stim\r05y28g23b30.jpeg,09,05,07,28,06,23,09,30,2,-3,0,-1,0,1,1,4.898,2.727,0,5.132,1,rød
5,44,42,Female,Female,24,24,Stim\r03y11g01b26.jpeg,Stim\r02y10g14b11.jpeg,03,02,11,10,01,14,26,11,1,3,0,0,0,0,0,2.336,2.882,0,0.0,1,rød
6,44,42,Female,Female,24,24,Stim\r13y24g05b28.jpeg,Stim\r05y28g23b30.jpeg,13,05,24,28,05,23,28,30,-2,1,0,-1,1,0,1,2.088,2.784,0,2.661,1,rød
7,44,42,Female,Female,24,24,Stim\r17y07g07b24.jpeg,Stim\r19y15g35b05.jpeg,17,19,07,15,07,35,24,05,3,3,0,0,1,1,0,1.455,2.101,0,0.0,1,rød
8,44,42,Female,Female,24,24,Stim\r12y07g16b25.jpeg,Stim\r21y24g16b04.jpeg,12,21,07,24,16,16,25,04,3,4,0,0,1,1,0,1.44,1.934,0,0.0,1,rød
9,44,42,Female,Female,24,24,Stim\r13y21g23b09.jpeg,Stim\r09y06g26b32.jpeg,13,09,21,06,23,26,09,32,-2,-4,0,0,1,1,0,2.242,2.588,0,0.0,1,rød
10,44,42,Female,Female,24,24,Stim\r11y13g22b35.jpeg,Stim\r04y28g27b06.jpeg,11,04,13,28,22,27,35,06,-2,-3,0,0,1,1,0,1.944,3.053,0,0.0,1,rød
11,44,42,Female,Female,24,24,Stim\r06y14g31b25.jpeg,Stim\r09y07g06b09.jpeg,06,09,14,07,31,06,25,09,-3,3,-1,0,0,1,0,2.086,2.082,6.54,0.0,1,rød
12,44,42,Female,Female,24,24,Stim\r09y15g18b07.jpeg,Stim\r06y14g31b25.jpeg,09,06,15,14,18,31,07,25,3,-1,1,0,0,1,0,2.14,2.381,5.337,0.0,1,rød
13,44,42,Female,Female,24,24,Stim\r09y06g26b32.jpeg,Stim\r08y09g09b11.jpeg,09,08,06,09,26,09,32,11,1,3,0,0,0,0,0,3.701,2.73,0,0.0,1,rød
14,44,42,Female,Female,24,24,Stim\r04y39g24b15.jpeg,Stim\r02y19g24b04.jpeg,04,02,39,19,24,24,15,04,-1,2,1,0,1,0,0,2.688,2.717,3.312,0.0,1,rød
15,44,42,Female,Female,24,24,Stim\r10y07g11b10.jpeg,Stim\r11y13g22b35.jpeg,10,11,07,13,11,22,10,35,-1,2,0,1,0,1,1,3.959,2.891,0,3.123,1,rød
16,44,42,Female,Female,24,24,Stim\r14y20g16b10.jpeg,Stim\r11y14g08b23.jpeg,14,11,20,14,16,08,10,23,2,-1,1,0,0,1,0,1.256,5.076,2.59,0.0,1,rød
17,44,42,Female,Female,24,24,Stim\r12y09g30b18.jpeg,Stim\r15y05g12b10.jpeg,12,15,09,05,30,12,18,10,2,2,0,0,1,1,0,1.694,1.873,0,0.0,1,rød
18,44,42,Female,Female,24,24,Stim\r12y07g07b17.jpeg,Stim\r03y06g12b09.jpeg,12,03,07,06,07,12,17,09,-3,2,-1,0,1,0,1,1.507,2.92,2.418,0.0,1,rød
19,44,42,Female,Female,24,24,Stim\r19y15g35b05.jpeg,Stim\r17y07g07b24.jpeg,19,17,15,07,35,07,05,24,-4,-2,0,0,1,1,0,1.95,3.01,0,0.0,1,rød
20,44,42,Female,Female,24,24,Stim\r14y12g04b29.jpeg,Stim\r20y14g02b19.jpeg,14,20,12,14,04,02,29,19,4,3,0,0,1,1,0,1.77,2.427,0,0.0,1,rød
21,44,42,Female,Female,24,24,Stim\r04y28g27b06.jpeg,Stim\r06y14g31b25.jpeg,04,06,28,14,27,31,06,25,1,-1,0,-1,1,0,0,2.322,1.867,0,4.667,1,rød
22,44,42,Female,Female,24,24,Stim\r03y03g02b05.jpeg,Stim\r07y14g27b22.jpeg,03,07,03,14,02,27,05,22,2,2,0,0,1,1,0,3.177,2.606,0,0.0,1,rød
23,44,42,Female,Female,24,24,Stim\r11y26g25b38.jpeg,Stim\r09y17g32b21.jpeg,11,09,26,17,25,32,38,21,2,-2,1,0,0,1,0,2.783,2.435,1.743,0.0,1,rød
