"","SubjectID","Gender","Age","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response","Correct","RT","Round","Block","group_id","SubjectID_unique","diff","response_dummy","Partner_gender","Side"
"1","3","Male",24,"Stim\r10y03g03b07.jpeg","Stim\r11y10g06b19.jpeg",10,11,3,10,3,6,7,19,-2,0,3.562,1,"rød","3_1","3_1",1,0,"Male","left"
"2","3","Male",24,"Stim\r16y21g04b04.jpeg","Stim\r15y05g12b10.jpeg",16,15,21,5,4,12,4,10,3,0,1.888,1,"rød","3_1","3_1",-1,1,"Male","left"
"3","3","Male",24,"Stim\r10y13g07b36.jpeg","Stim\r09y07g06b09.jpeg",10,9,13,7,7,6,36,9,1,0,2.389,1,"rød","3_1","3_1",-1,1,"Male","left"
"4","3","Male",24,"Stim\r12y07g07b17.jpeg","Stim\r21y24g16b04.jpeg",12,21,7,24,7,16,17,4,4,1,1.583,1,"rød","3_1","3_1",9,1,"Male","left"
"5","3","Male",24,"Stim\r20y14g02b19.jpeg","Stim\r21y01g04b27.jpeg",20,21,14,1,2,4,19,27,2,1,2.142,1,"rød","3_1","3_1",1,1,"Male","left"
"6","3","Male",24,"Stim\r01y27g01b01.jpeg","Stim\r04y16g13b13.jpeg",1,4,27,16,1,13,1,13,4,1,1.824,1,"rød","3_1","3_1",3,1,"Male","left"
"7","3","Male",24,"Stim\r09y15g18b07.jpeg","Stim\r06y36g16b14.jpeg",9,6,15,36,18,16,7,14,-2,1,1.693,1,"rød","3_1","3_1",-3,0,"Male","left"
"8","3","Male",24,"Stim\r08y23g10b29.jpeg","Stim\r10y02g36b05.jpeg",8,10,23,2,10,36,29,5,2,1,2.192,1,"rød","3_1","3_1",2,1,"Male","left"
"9","3","Male",24,"Stim\r13y21g23b09.jpeg","Stim\r09y02g05b02.jpeg",13,9,21,2,23,5,9,2,4,0,1.585,1,"rød","3_1","3_1",-4,1,"Male","left"
"10","3","Male",24,"Stim\r03y06g12b09.jpeg","Stim\r02y10g14b11.jpeg",3,2,6,10,12,14,9,11,2,0,1.482,1,"rød","3_1","3_1",-1,1,"Male","left"
"11","3","Male",24,"Stim\r11y26g25b38.jpeg","Stim\r15y16g12b03.jpeg",11,15,26,16,25,12,38,3,3,1,2.409,1,"rød","3_1","3_1",4,1,"Male","left"
"12","3","Male",24,"Stim\r11y14g08b23.jpeg","Stim\r08y23g10b29.jpeg",11,8,14,23,8,10,23,29,-2,1,2.381,1,"rød","3_1","3_1",-3,0,"Male","left"
"13","3","Male",24,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,0,1.989,1,"rød","3_1","3_1",7,0,"Male","left"
"14","3","Male",24,"Stim\r02y10g14b11.jpeg","Stim\r11y26g25b38.jpeg",2,11,10,26,14,25,11,38,4,1,1.493,1,"rød","3_1","3_1",9,1,"Male","left"
"15","3","Male",24,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,0,1.078,1,"rød","3_1","3_1",-2,1,"Male","left"
"16","3","Male",24,"Stim\r07y14g27b22.jpeg","Stim\r09y06g26b32.jpeg",7,9,14,6,27,26,22,32,2,1,1.699,1,"rød","3_1","3_1",2,1,"Male","left"
"17","3","Male",24,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,1,1.457,1,"rød","3_1","3_1",1,1,"Male","left"
"18","3","Male",24,"Stim\r10y37g07b02.jpeg","Stim\r14y12g04b29.jpeg",10,14,37,12,7,4,2,29,4,1,1.678,1,"rød","3_1","3_1",4,1,"Male","left"
"19","3","Male",24,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,0,1.322,1,"rød","3_1","3_1",-1,1,"Male","left"
"20","3","Male",24,"Stim\r06y36g16b14.jpeg","Stim\r10y02g36b05.jpeg",6,10,36,2,16,36,14,5,2,1,1.571,1,"rød","3_1","3_1",4,1,"Male","left"
"21","3","Male",24,"Stim\r22y35g09b11.jpeg","Stim\r18y19g14b27.jpeg",22,18,35,19,9,14,11,27,-2,1,1.011,1,"rød","3_1","3_1",-4,0,"Male","left"
"22","3","Male",24,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,0,1.607,1,"rød","3_1","3_1",-3,1,"Male","left"
"23","3","Male",24,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,1,1.577,1,"rød","3_1","3_1",1,1,"Male","left"
"24","3","Male",24,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,0,2.765,1,"rød","3_1","3_1",-2,1,"Male","left"
"25","3","Male",24,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,1,1.327,1,"rød","3_1","3_1",1,1,"Male","left"
"26","3","Male",24,"Stim\r08y23g10b29.jpeg","Stim\r03y11g01b26.jpeg",8,3,23,11,10,1,29,26,4,0,1.207,1,"blå","3_1","3_1",-3,1,"Male","left"
