,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,53,55,Male,Male,18,21,Stim\r10y27g22b14.jpeg,Stim\r12y07g16b25.jpeg,10,12,27,07,22,16,14,25,1,1,0,0,1,1,0,2.048,1.911,0,0,2,rød
1,53,55,Male,Male,18,21,Stim\r17y22g16b15.jpeg,Stim\r14y20g16b10.jpeg,17,14,22,20,16,16,15,10,-1,1,1,0,1,0,0,1.805,1.234,4.99,0,2,rød
2,53,55,Male,Male,18,21,Stim\r12y07g07b17.jpeg,Stim\r19y15g35b05.jpeg,12,19,07,15,07,35,17,05,1,2,0,0,1,1,0,2.681,1.476,0,0,2,rød
3,53,55,Male,Male,18,21,Stim\r07y14g27b22.jpeg,Stim\r10y02g36b05.jpeg,07,10,14,02,27,36,22,05,4,1,0,0,1,1,0,2.037,1.184,0,0,2,rød
4,53,55,Male,Male,18,21,Stim\r11y10g06b19.jpeg,Stim\r13y33g08b23.jpeg,11,13,10,33,06,08,19,23,2,2,0,0,1,1,0,1.715,1.495,0,0,2,rød
5,53,55,Male,Male,18,21,Stim\r09y06g26b32.jpeg,Stim\r12y09g30b18.jpeg,09,12,06,09,26,30,32,18,2,-1,0,1,1,0,1,1.455,1.102,0,2.405,2,rød
6,53,55,Male,Male,18,21,Stim\r08y09g09b11.jpeg,Stim\r14y20g16b10.jpeg,08,14,09,20,09,16,11,10,1,1,0,0,1,1,0,2.858,2.303,0,0,2,rød
7,53,55,Male,Male,18,21,Stim\r06y36g16b14.jpeg,Stim\r10y07g11b10.jpeg,06,10,36,07,16,11,14,10,1,2,0,0,1,1,0,2.671,1.167,0,0,2,rød
8,53,55,Male,Male,18,21,Stim\r03y03g02b05.jpeg,Stim\r04y39g24b15.jpeg,03,04,03,39,02,24,05,15,1,1,0,0,1,1,0,2.557,1.67,0,0,2,rød
9,53,55,Male,Male,18,21,Stim\r13y24g05b28.jpeg,Stim\r16y09g06b10.jpeg,13,16,24,09,05,06,28,10,2,-1,0,1,1,0,1,2.37,0.833,0,1.97,2,rød
10,53,55,Male,Male,18,21,Stim\r10y02g36b05.jpeg,Stim\r08y23g10b29.jpeg,10,08,02,23,36,10,05,29,-1,-2,0,0,1,1,0,3.031,1.54,0,0,2,rød
11,53,55,Male,Male,18,21,Stim\r22y02g34b05.jpeg,Stim\r15y16g12b03.jpeg,22,15,02,16,34,12,05,03,-1,-1,0,0,1,1,0,1.864,1.076,0,0,2,rød
12,53,55,Male,Male,18,21,Stim\r06y14g31b25.jpeg,Stim\r10y03g03b07.jpeg,06,10,14,03,31,03,25,07,-1,-1,0,0,0,0,0,4.507,4.152,0,0,2,rød
13,53,55,Male,Male,18,21,Stim\r20y04g39b23.jpeg,Stim\r21y24g16b04.jpeg,20,21,04,24,39,16,23,04,-1,2,1,0,0,1,1,2.502,1.58,1.992,0,2,rød
14,53,55,Male,Male,18,21,Stim\r17y07g07b24.jpeg,Stim\r10y07g11b10.jpeg,17,10,07,07,07,11,24,10,-1,1,1,0,1,0,0,1.756,2.318,1.604,0,2,rød
15,53,55,Male,Male,18,21,Stim\r18y13g28b06.jpeg,Stim\r19y15g35b05.jpeg,18,19,13,15,28,35,06,05,4,3,0,0,1,1,0,2.271,1.52,0,0,2,rød
16,53,55,Male,Male,18,21,Stim\r04y39g24b15.jpeg,Stim\r08y12g20b03.jpeg,04,08,39,12,24,20,15,03,1,1,0,0,1,1,0,1.849,1.196,0,0,2,rød
17,53,55,Male,Male,18,21,Stim\r13y21g23b09.jpeg,Stim\r12y09g30b18.jpeg,13,12,21,09,23,30,09,18,-1,-3,0,0,1,1,0,2.688,2.154,0,0,2,rød
18,53,55,Male,Male,18,21,Stim\r04y16g13b13.jpeg,Stim\r13y33g08b23.jpeg,04,13,16,33,13,08,13,23,1,1,0,0,1,1,0,1.672,1.068,0,0,2,rød
19,53,55,Male,Male,18,21,Stim\r18y19g14b27.jpeg,Stim\r11y26g25b38.jpeg,18,11,19,26,14,25,27,38,-4,-2,0,0,1,1,0,2.354,1.103,0,0,2,rød
20,53,55,Male,Male,18,21,Stim\r11y14g08b23.jpeg,Stim\r13y21g23b09.jpeg,11,13,14,21,08,23,23,09,2,3,0,0,1,1,0,2.022,1.797,0,0,2,rød
21,53,55,Male,Male,18,21,Stim\r03y06g12b09.jpeg,Stim\r06y14g31b25.jpeg,03,06,06,14,12,31,09,25,2,-1,0,1,1,0,1,1.959,3.005,0,2.059,2,rød
22,53,55,Male,Male,18,21,Stim\r05y28g23b30.jpeg,Stim\r08y12g20b03.jpeg,05,08,28,12,23,20,30,03,2,1,0,0,1,1,0,1.611,1.242,0,0,2,rød
23,53,55,Male,Male,18,21,Stim\r12y07g16b25.jpeg,Stim\r06y36g16b14.jpeg,12,06,07,36,16,16,25,14,-1,-1,0,0,1,1,0,2.053,1.033,0,0,2,rød
24,53,55,Male,Male,18,21,Stim\r10y27g22b14.jpeg,Stim\r07y06g08b05.jpeg,10,07,27,06,22,08,14,05,-1,-2,0,0,1,1,0,2.067,1.913,0,0,2,blå
25,53,55,Male,Male,18,21,Stim\r17y07g07b24.jpeg,Stim\r11y14g08b23.jpeg,17,11,07,14,07,08,24,23,-4,-1,0,0,1,1,0,1.89,1.337,0,0,2,blå
26,53,55,Male,Male,18,21,Stim\r17y11g38b07.jpeg,Stim\r18y13g28b06.jpeg,17,18,11,13,38,28,07,06,-2,1,0,-1,1,0,1,2.738,1.318,0,1.548,2,blå
27,53,55,Male,Male,18,21,Stim\r10y07g11b10.jpeg,Stim\r01y27g01b01.jpeg,10,01,07,27,11,01,10,01,-4,-2,0,0,1,1,0,2.389,1.151,0,0,2,blå
28,53,55,Male,Male,18,21,Stim\r05y28g23b30.jpeg,Stim\r14y12g04b29.jpeg,05,14,28,12,23,04,30,29,4,4,0,0,0,0,0,1.706,1.336,0,0,2,blå
29,53,55,Male,Male,18,21,Stim\r12y09g30b18.jpeg,Stim\r12y12g14b26.jpeg,12,12,09,12,30,14,18,26,4,4,0,0,1,1,0,1.921,1.4,0,0,2,blå
