"","SubjectID_unique","Trial","SubjectID","Gender","Age","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response","Joint","Correct","Correct_joint","RT","RT_joint","Round","Block","group_id","diff","response_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Intercept","Slope","Sensitivity_roll","skill_dif","skill_dif_c","skill_dif_roll","skill_dif_roll_c","Response_abs","z_Response_abs","conf_dif","conf_dif_c","Side"
"3","3_1",13,"3","Male",24,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,1,0,1,1.989,4.514,1,"rød","3_1",7,0,1,"Left_lead","Male","Male",1,0.324012494989064,0.201752410100406,0.191898788392715,1.02351086314367,0.0235108631436749,1.04834612313323,0.0483461231332276,2,-0.267273026697222,1,0,"left"
"4","3_1",15,"3","Male",24,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,1,0,0,1.078,1.666,1,"rød","3_1",-2,1,1,"Left_lead","Male","Male",0,0.324012494989064,0.201752410100406,0.209457086021144,1.02351086314367,0.0235108631436749,1.01186630211136,0.0118663021113583,2,-0.267273026697222,2,1,"left"
"6","3_1",17,"3","Male",24,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-1,1,0,1.457,1.951,1,"rød","3_1",1,1,0,"Left_lead","Male","Male",1,0.324012494989064,0.201752410100406,0.201432627637386,1.02351086314367,0.0235108631436749,1.03843039460302,0.038430394603018,2,-0.267273026697222,1,0,"left"
"7","3_1",19,"3","Male",24,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,-1,0,1,1.322,3.525,1,"rød","3_1",-1,1,0,"Left_lead","Male","Male",1,0.324012494989064,0.201752410100406,0.205353826706986,1.02351086314367,0.0235108631436749,0.946661003658535,-0.0533389963414651,2,-0.267273026697222,1,0,"left"
"10","3_1",22,"3","Male",24,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,1,0,0,1.607,1.824,1,"rød","3_1",-3,1,1,"Left_lead","Male","Male",0,0.324012494989064,0.201752410100406,0.217106197114048,1.02351086314367,0.0235108631436749,0.93656150524639,-0.0634384947536099,3,0.75727357564213,1.5,0.5,"left"
"11","3_1",23,"3","Male",24,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,-1,1,0,1.577,1.044,1,"rød","3_1",1,1,0,"Left_lead","Male","Male",1,0.324012494989064,0.201752410100406,0.232117549291868,1.02351086314367,0.0235108631436749,0.982826145267904,-0.0171738547320963,1,-1.29181962903657,0.5,-0.5,"left"
"12","3_1",24,"3","Male",24,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,-1,0,1,2.765,1.33,1,"rød","3_1",-2,1,0,"Left_lead","Male","Male",1,0.324012494989064,0.201752410100406,0.23097591131886,1.02351086314367,0.0235108631436749,0.973040188066729,-0.0269598119332708,2,-0.267273026697222,1,0,"left"
"13","3_1",25,"3","Male",24,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,1,1,1,1.327,1.14,1,"rød","3_1",1,1,1,"Left_lead","Male","Male",0,0.324012494989064,0.201752410100406,0.227886165623891,1.02351086314367,0.0235108631436749,0.940955917903218,-0.0590440820967824,4,1.78182017798148,2,1,"left"
"15","3_1",29,"3","Male",24,"Stim\r12y07g07b17.jpeg","Stim\r09y17g32b21.jpeg",12,9,7,17,7,32,17,21,-2,1,0,1,2.47,1.474,1,"blå","3_1",4,0,1,"Left_lead","Male","Male",1,0.324012494989064,0.201752410100406,0.200545078378128,1.02351086314367,0.0235108631436749,0.910650186611602,-0.0893498133883976,2,-0.267273026697222,0.666666666666667,-0.333333333333333,"left"
"16","3_1",33,"3","Male",24,"Stim\r21y31g06b08.jpeg","Stim\r22y35g09b11.jpeg",21,22,31,35,6,9,8,11,4,1,1,1,1.193,1.563,1,"blå","3_1",3,1,1,"Left_lead","Male","Male",0,0.324012494989064,0.201752410100406,0.200936989093206,1.02351086314367,0.0235108631436749,0.974996404643668,-0.0250035953563323,4,1.78182017798148,2,1,"left"
