"","SubjectID_right_unique","Trial_right","SubjectID_left_unique","Trial_left","SubjectID_left","SubjectID_right","Gender_left","Gender_right","Age_left","Age_right","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response_left","Response_right","Joint_left","Joint_right","Correct_left","Correct_right","Correct_joint","RT_left","RT_right","RT_joint_left","RT_joint_right","Round","Block","group_id","diff","response_right_dummy","response_left_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Sensitivity_roll_left","Sensitivity_roll_right","skill_dif_roll","skill_dif_roll_c","Response_left_abs","Response_right_abs","z_Response_left_abs","z_Response_right_abs","conf_dif","conf_dif_c"
"1","1_1",11,"3_1",11,"3",1,"Male","Male",24,23,"Stim\r11y26g25b38.jpeg","Stim\r15y16g12b03.jpeg",11,15,26,16,25,12,38,3,3,-2,0,-1,1,0,0,2.409,1.473,0,4.129,1,"rød","3_1",4,0,1,0,"Right_lead","Male","Male","stick",0.190844096482105,0.174506392202533,0.914392404162714,-0.0856075958372857,3,2,0.75727357564213,0.316106376724322,0.666666666666667,-0.333333333333333
"2","1_1",12,"3_1",12,"3",1,"Male","Male",24,23,"Stim\r11y14g08b23.jpeg","Stim\r08y23g10b29.jpeg",11,8,14,23,8,10,23,29,-2,1,0,-1,1,0,1,2.381,1.775,0,4.168,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",0.207945220213955,0.17864612795225,0.859101871966284,-0.140898128033716,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"3","1_1",13,"3_1",13,"3",1,"Male","Male",24,23,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,2,1,0,0,1,1,1.989,2.701,4.514,0,1,"rød","3_1",7,1,0,1,"Left_lead","Male","Male","surrender",0.191763087160764,0.184561119309545,1.03902212924457,0.0390221292445669,2,2,-0.267273026697222,0.316106376724322,1,0
"4","1_1",15,"3_1",15,"3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,-1,1,0,0,1,0,1.078,1.825,1.666,0,1,"rød","3_1",-2,0,1,1,"Left_lead","Male","Male","stick",0.210112072425785,0.206785278894532,1.01608815457772,0.0160881545777241,2,1,-0.267273026697222,-1.29954843764443,2,1
"5","1_1",16,"3_1",16,"3",1,"Male","Male",24,23,"Stim\r07y14g27b22.jpeg","Stim\r09y06g26b32.jpeg",7,9,14,6,27,26,22,32,2,-2,0,-1,1,0,0,1.699,1.592,0,2.427,1,"rød","3_1",2,0,1,0,"Right_lead","Male","Male","stick",0.196985373217735,0.187998688093563,0.954378921757614,-0.0456210782423865,2,2,-0.267273026697222,0.316106376724322,1,0
"6","1_1",17,"3_1",17,"3",1,"Male","Male",24,23,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-2,-1,0,1,0,0,1.457,1.707,1.951,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.201444147791859,0.193706667072123,1.0399443180593,0.0399443180593011,2,2,-0.267273026697222,0.316106376724322,1,0
"7","1_1",19,"3_1",19,"3",1,"Male","Male",24,23,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,-2,-1,0,0,1,1,1.322,1.768,3.525,0,1,"rød","3_1",-1,0,1,0,"Left_lead","Male","Male","surrender",0.205713448587695,0.218023458275269,0.943538141331417,-0.0564618586685833,2,2,-0.267273026697222,0.316106376724322,1,0
"8","1_1",2,"3_1",2,"3",1,"Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r15y05g12b10.jpeg",16,15,21,5,4,12,4,10,3,-2,1,0,0,1,0,1.888,1.867,6.121,0,1,"rød","3_1",-1,0,1,1,"Left_lead","Male","Male","stick",NA,NA,NA,NA,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"9","1_1",21,"3_1",21,"3",1,"Male","Male",24,23,"Stim\r22y35g09b11.jpeg","Stim\r18y19g14b27.jpeg",22,18,35,19,9,14,11,27,-2,2,0,1,1,0,0,1.011,1.543,0,2.397,1,"rød","3_1",-4,1,0,1,"Right_lead","Male","Male","stick",0.225618805965216,0.226275585570175,1.00291101445267,0.0029110144526705,2,2,-0.267273026697222,0.316106376724322,1,0
"10","1_1",22,"3_1",22,"3",1,"Male","Male",24,23,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,-2,1,0,0,1,0,1.607,1.42,1.824,0,1,"rød","3_1",-3,0,1,1,"Left_lead","Male","Male","stick",0.216996088159063,0.233816053694917,0.928063256264684,-0.0719367437353156,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"11","1_1",23,"3_1",23,"3",1,"Male","Male",24,23,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,-2,-1,0,1,0,0,1.577,0.94,1.044,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.230417268320538,0.238095814893221,0.967750182521576,-0.0322498174784239,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"12","1_1",24,"3_1",24,"3",1,"Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,-2,-1,0,0,1,1,2.765,1.178,1.33,0,1,"rød","3_1",-2,0,1,0,"Left_lead","Male","Male","surrender",0.231151617317661,0.237057402238952,0.975087110271554,-0.0249128897284464,2,2,-0.267273026697222,0.316106376724322,1,0
"13","1_1",25,"3_1",25,"3",1,"Male","Male",24,23,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,-2,1,0,1,0,1,1.327,1.206,1.14,0,1,"rød","3_1",1,0,1,1,"Left_lead","Male","Male","stick",0.228692888341036,0.243624360629659,0.938711086814012,-0.0612889131859881,4,2,1.78182017798148,0.316106376724322,2,1
"14","1_1",27,"3_1",27,"3",1,"Male","Male",24,23,"Stim\r12y09g30b18.jpeg","Stim\r20y14g02b19.jpeg",12,20,9,14,30,2,18,19,3,-2,0,1,1,0,1,1.325,1.271,0,1.764,1,"blå","3_1",1,0,1,1,"Right_lead","Male","Male","surrender",0.204009054366156,0.235892916847543,1.15628650689279,0.156286506892786,3,2,0.75727357564213,0.316106376724322,0.666666666666667,-0.333333333333333
"15","1_1",29,"3_1",29,"3",1,"Male","Male",24,23,"Stim\r12y07g07b17.jpeg","Stim\r09y17g32b21.jpeg",12,9,7,17,7,32,17,21,-2,3,1,0,0,1,1,2.47,3.249,1.474,0,1,"blå","3_1",4,1,0,1,"Left_lead","Male","Male","surrender",0.202837675607932,0.221844668497329,0.914322967425175,-0.0856770325748254,2,3,-0.267273026697222,1.93176119109308,0.666666666666667,-0.333333333333333
"16","1_1",33,"3_1",33,"3",1,"Male","Male",24,23,"Stim\r21y31g06b08.jpeg","Stim\r22y35g09b11.jpeg",21,22,31,35,6,9,8,11,4,-2,1,0,1,0,1,1.193,1.087,1.563,0,1,"blå","3_1",3,0,1,1,"Left_lead","Male","Male","stick",0.205844129538261,0.207167920142541,0.993610059881042,-0.00638994011895844,4,2,1.78182017798148,0.316106376724322,2,1
"17","1_1",34,"3_1",34,"3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r17y22g16b15.jpeg",13,17,33,22,8,16,23,15,-1,2,1,0,1,0,0,2.316,3.728,1.064,0,1,"blå","3_1",-8,1,0,1,"Left_lead","Male","Male","surrender",0.207715616063826,0.172703462698677,1.20272988634997,0.20272988634997,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"18","1_1",35,"3_1",35,"3",1,"Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r09y17g32b21.jpeg",11,9,10,17,6,32,19,21,4,-2,1,0,1,0,1,1.103,0.949,1.025,0,1,"blå","3_1",2,0,1,1,"Left_lead","Male","Male","stick",0.212312153525641,0.132880812204434,1.59776381558388,0.597763815583876,4,2,1.78182017798148,0.316106376724322,2,1
"19","1_1",36,"3_1",36,"3",1,"Male","Male",24,23,"Stim\r10y02g36b05.jpeg","Stim\r21y31g06b08.jpeg",10,21,2,31,36,6,5,8,2,-2,-1,0,1,0,0,1.329,1.975,3.581,0,1,"blå","3_1",3,0,1,0,"Left_lead","Male","Male","surrender",0.203453805314691,0.134009158756068,1.51820821205982,0.518208212059823,2,2,-0.267273026697222,0.316106376724322,1,0
"20","1_1",37,"3_1",37,"3",1,"Male","Male",24,23,"Stim\r09y06g26b32.jpeg","Stim\r03y11g01b26.jpeg",9,3,6,11,26,1,32,26,3,-2,1,0,0,1,0,1.549,2.378,1.316,0,1,"blå","3_1",-6,0,1,1,"Left_lead","Male","Male","stick",0.171881532738348,0.156003985520573,1.10177654862338,0.101776548623376,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"21","1_1",41,"3_1",41,"3",1,"Male","Male",24,23,"Stim\r09y17g32b21.jpeg","Stim\r20y14g02b19.jpeg",9,20,17,14,32,2,21,19,-3,1,-1,0,1,0,1,1.293,1.823,1.035,0,1,"blå","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.16041068011356,0.148679944301415,1.07889924809471,0.0788992480947099,3,1,0.75727357564213,-1.29954843764443,3,2
"22","1_1",42,"3_1",42,"3",1,"Male","Male",24,23,"Stim\r03y06g12b09.jpeg","Stim\r16y09g06b10.jpeg",3,16,6,9,12,6,9,10,-1,3,0,-1,0,1,0,1.07,1.38,0,5.163,1,"blå","3_1",1,1,0,0,"Right_lead","Male","Male","surrender",0.156769166136227,0.146950023354464,0.937365599219744,-0.0626344007802561,1,3,-1.29181962903657,1.93176119109308,3,2
"23","1_1",43,"3_1",43,"3",1,"Male","Male",24,23,"Stim\r10y27g22b14.jpeg","Stim\r22y35g09b11.jpeg",10,22,27,35,22,9,14,11,2,-2,0,-1,0,1,1,1.15,2.212,0,4.827,1,"blå","3_1",-3,0,1,0,"Right_lead","Male","Male","stick",0.154599350337628,0.149880039784135,0.969473930238474,-0.0305260697615258,2,2,-0.267273026697222,0.316106376724322,1,0
"24","1_1",45,"3_1",45,"3",1,"Male","Male",24,23,"Stim\r10y03g03b07.jpeg","Stim\r08y09g09b11.jpeg",10,8,3,9,3,9,7,11,-1,2,0,1,0,1,1,2.094,1.491,0,2.682,1,"blå","3_1",4,1,0,1,"Right_lead","Male","Male","stick",0.166318607100154,0.175315971674435,1.05409716165349,0.054097161653494,1,2,-1.29181962903657,0.316106376724322,2,1
"25","1_1",46,"3_1",46,"3",1,"Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r05y28g23b30.jpeg",14,5,8,28,21,23,39,30,2,-3,0,-1,0,1,1,1.401,1.326,0,2.181,1,"blå","3_1",-9,0,1,0,"Right_lead","Male","Male","stick",0.166799403637498,0.190404582324641,1.14151836380928,0.141518363809284,2,3,-0.267273026697222,1.93176119109308,1.5,0.5
"26","1_1",47,"3_1",47,"3",1,"Male","Male",24,23,"Stim\r12y07g16b25.jpeg","Stim\r14y12g04b29.jpeg",12,14,7,12,16,4,25,29,4,-2,0,1,1,0,1,1.249,3.545,0,1.554,1,"blå","3_1",4,0,1,1,"Right_lead","Male","Male","surrender",0.174530005782713,0.185262497727863,1.06149367781785,0.0614936778178521,4,2,1.78182017798148,0.316106376724322,0.5,-0.5
"27","1_1",49,"3_1",49,"3",1,"Male","Male",24,23,"Stim\r16y09g06b10.jpeg","Stim\r21y31g06b08.jpeg",16,21,9,31,6,6,10,8,1,-2,-1,0,0,1,1,0.987,1.214,1.848,0,1,"blå","3_1",-2,0,1,0,"Left_lead","Male","Male","surrender",0.171638200913802,0.200162517867585,0.857494213913452,-0.142505786086548,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"28","1_1",5,"3_1",5,"3",1,"Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r21y01g04b27.jpeg",20,21,14,1,2,4,19,27,2,-1,0,-1,1,0,0,2.142,1.872,0,7.432,1,"rød","3_1",1,0,1,0,"Right_lead","Male","Male","stick",NA,NA,NA,NA,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
