,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,26,28,Female,Female,24,23,Stim\r08y09g09b11.jpeg,Stim\r06y19g29b08.jpeg,08,06,09,19,09,29,11,08,1,1,0,0,0,0,0,6.049,6.444,0,0,1,rød
1,26,28,Female,Female,24,23,Stim\r13y24g05b28.jpeg,Stim\r22y02g34b05.jpeg,13,22,24,02,05,34,28,05,2,-2,0,1,1,0,1,9.405,4.382,0,6.528,1,rød
2,26,28,Female,Female,24,23,Stim\r18y13g28b06.jpeg,Stim\r19y15g35b05.jpeg,18,19,13,15,28,35,06,05,2,1,0,0,1,1,0,3.356,2.269,0,0,1,rød
3,26,28,Female,Female,24,23,Stim\r20y14g02b19.jpeg,Stim\r17y07g07b24.jpeg,20,17,14,07,02,07,19,24,2,1,0,0,0,0,0,3.171,1.55,0,0,1,rød
4,26,28,Female,Female,24,23,Stim\r06y14g31b25.jpeg,Stim\r10y13g07b36.jpeg,06,10,14,13,31,07,25,36,1,1,0,0,1,1,0,4.013,4.659,0,0,1,rød
5,26,28,Female,Female,24,23,Stim\r05y28g23b30.jpeg,Stim\r08y09g09b11.jpeg,05,08,28,09,23,09,30,11,2,1,0,0,1,1,0,3.091,2.188,0,0,1,rød
6,26,28,Female,Female,24,23,Stim\r17y22g16b15.jpeg,Stim\r18y13g28b06.jpeg,17,18,22,13,16,28,15,06,-2,-1,0,0,0,0,0,2.479,2.259,0,0,1,rød
7,26,28,Female,Female,24,23,Stim\r17y12g19b18.jpeg,Stim\r15y05g12b10.jpeg,17,15,12,05,19,12,18,10,2,1,0,0,0,0,0,2.816,3.178,0,0,1,rød
8,26,28,Female,Female,24,23,Stim\r14y08g21b39.jpeg,Stim\r20y14g02b19.jpeg,14,20,08,14,21,02,39,19,3,1,0,0,1,1,0,2.456,2.052,0,0,1,rød
9,26,28,Female,Female,24,23,Stim\r16y09g06b10.jpeg,Stim\r09y02g05b02.jpeg,16,09,09,02,06,05,10,02,-2,-1,0,0,1,1,0,2.689,2.834,0,0,1,rød
10,26,28,Female,Female,24,23,Stim\r13y21g23b09.jpeg,Stim\r14y08g21b39.jpeg,13,14,21,08,23,21,09,39,-1,1,0,-1,0,1,0,3.708,1.52,0,3.741,1,rød
11,26,28,Female,Female,24,23,Stim\r12y07g07b17.jpeg,Stim\r15y05g12b10.jpeg,12,15,07,05,07,12,17,10,3,1,0,0,1,1,0,1.748,1.611,0,0,1,rød
12,26,28,Female,Female,24,23,Stim\r12y07g16b25.jpeg,Stim\r14y10g15b15.jpeg,12,14,07,10,16,15,25,15,-1,1,1,0,0,1,1,2.612,3.682,3.768,0,1,rød
