"","GroupNumber","SubjectID_left","SubjectID_right","Computer","Gender_left","Gender_right","Age_left","Age_right","Familiarity","Block","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response_left","Response_right","Joint_left","Joint_right","Correct_left","Correct_right","Correct_joint","RT_left","RT_right","RT_joint_left","RT_joint_right","Participation_left","Participation_right"
"1","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r14y12g04b29.jpeg","Red\r24y08g18b33.jpeg",14,24,12,8,4,18,29,33,1,0,-1,0,1,0,0,0.871,3.475,4.514,0,"1st time","1st time"
"2","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r11y10g06b19.jpeg","Red\r23y25g12b17.jpeg",11,23,10,25,6,12,19,17,1,1,0,0,0,0,0,6.304,2.298,0,0,"1st time","1st time"
"3","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r27y05g22b23.jpeg","Red\r12y12g14b26.jpeg",27,12,5,12,22,14,23,26,0,1,0,-1,0,1,0,2.296,2.824,0,2.134,"1st time","1st time"
"4","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Rep\r19y10g06b15.jpeg","Red\r11y10g06b19.jpeg",19,11,10,10,6,6,15,19,1,0,0,1,1,0,1,2.182,3.411,0,2.665,"1st time","1st time"
"5","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r10y37g07b02.jpeg","Red\r28y29g17b05.jpeg",10,28,37,29,7,17,2,5,1,1,0,0,1,1,0,1.938,4.201,0,0,"1st time","1st time"
"6","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r12y09g30b18.jpeg","Red\r07y14g27b22.jpeg",12,7,9,14,30,27,18,22,1,1,0,0,1,1,0,2.696,3.307,0,0,"1st time","1st time"
"7","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r10y07g11b10.jpeg","Red\r10y27g22b14.jpeg",10,10,7,27,11,22,10,14,0,0,0,0,0,0,0,3.253,2.433,0,0,"1st time","1st time"
"8","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r09y07g06b09.jpeg","Red\r28y29g17b05.jpeg",9,28,7,29,6,17,9,5,1,1,0,0,0,0,0,2.209,2.029,0,0,"1st time","1st time"
"9","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r23y34g09b11.jpeg","Rep\r14y20g16b10.jpeg",23,14,34,20,9,16,11,10,0,0,0,0,1,1,0,2.975,2.239,0,0,"1st time","1st time"
"10","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r07y06g08b05.jpeg","Red\r02y19g24b04.jpeg",7,2,6,19,8,24,5,4,1,0,1,0,0,1,0,2.322,2.085,4.586,0,"1st time","1st time"
"11","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r34y26g09b16.jpeg","Rep\r20y14g02b19.jpeg",34,20,26,14,9,2,16,19,1,0,1,0,1,0,1,3.114,1.939,2.595,0,"1st time","1st time"
"12","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Rep\r22y38g15b22.jpeg","Red\r30y03g14b24.jpeg",22,30,38,3,15,14,22,24,0,1,1,0,0,1,1,2.064,2.397,1.667,0,"1st time","1st time"
"13","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r24y10g05b14.jpeg","Red\r29y07g26b12.jpeg",24,29,10,7,5,26,14,12,1,1,0,0,0,0,0,3.405,2.4,0,0,"1st time","1st time"
"14","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r13y33g08b23.jpeg","Red\r18y19g14b27.jpeg",13,18,33,19,8,14,23,27,0,1,1,0,0,1,1,2.581,1.865,2.013,0,"1st time","1st time"
"15","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r06y14g31b25.jpeg","Rep\r21y01g04b27.jpeg",6,21,14,1,31,4,25,27,0,1,1,0,0,1,1,1.538,1.985,1.576,0,"1st time","1st time"
"16","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r20y14g02b19.jpeg","Red\r27y05g22b23.jpeg",20,27,14,5,2,22,19,23,1,0,-1,0,1,0,0,1.852,1.795,1.814,0,"1st time","1st time"
"17","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r03y03g02b05.jpeg","Red\r10y37g07b02.jpeg",3,10,3,37,2,7,5,2,0,1,0,1,1,0,0,3.495,4.352,0,2.331,"1st time","1st time"
"18","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r17y12g19b18.jpeg","Red\r10y27g22b14.jpeg",17,10,12,27,19,22,18,14,0,0,0,0,1,1,0,3.393,1.621,0,0,"1st time","1st time"
"19","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Rep\r15y05g12b10.jpeg","Red\r29y07g26b12.jpeg",15,29,5,7,12,26,10,12,1,0,0,-1,1,0,0,2.398,1.86,0,2.019,"1st time","1st time"
"20","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r17y11g38b07.jpeg","Red\r08y09g09b11.jpeg",17,8,11,9,38,9,7,11,0,1,0,1,0,1,1,3.456,2.45,0,2.806,"1st time","1st time"
"21","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r22y38g15b22.jpeg","Red\r03y11g01b26.jpeg",22,3,38,11,15,1,22,26,0,1,1,0,0,1,1,3.287,1.632,3.135,0,"1st time","1st time"
"22","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r30y03g14b24.jpeg","Red\r13y33g08b23.jpeg",30,13,3,33,14,8,24,23,0,0,0,0,1,1,0,4.148,1.56,0,0,"1st time","1st time"
"23","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r21y03g15b37.jpeg","Rep\r24y08g18b33.jpeg",21,24,3,8,15,18,37,33,0,0,0,0,1,1,0,1.907,2.186,0,0,"1st time","1st time"
"24","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r08y12g20b03.jpeg","Red\r40y04g15b01.jpeg",8,40,12,4,20,15,3,1,1,0,1,0,0,1,0,2.302,2.798,1.987,0,"1st time","1st time"
"25","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r15y17g24b30.jpeg","Red\r12y12g14b26.jpeg",15,12,17,12,24,14,30,26,1,1,0,0,0,0,0,2.621,2.751,0,0,"1st time","1st time"
"26","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r19y15g35b05.jpeg","Red\r04y28g27b06.jpeg",19,4,15,28,35,27,5,6,1,0,0,-1,1,0,0,1.84,2.587,0,1.911,"1st time","1st time"
"27","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r10y27g22b14.jpeg","Red\r29y25g18b18.jpeg",10,29,27,25,22,18,14,18,1,0,1,0,1,0,1,3.156,2.902,3.302,0,"1st time","1st time"
"28","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r12y12g14b26.jpeg","Red\r21y01g04b27.jpeg",12,21,12,1,14,4,26,27,0,1,-1,0,0,1,0,2.512,2.808,2.032,0,"1st time","1st time"
"29","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r25y30g09b15.jpeg","Red\r10y27g22b14.jpeg",25,10,30,27,9,22,15,14,0,0,0,0,1,1,0,3.108,2.572,0,0,"1st time","1st time"
"30","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r25y08g24b21.jpeg","Red\r20y04g39b23.jpeg",25,20,8,4,24,39,21,23,0,0,0,0,0,0,0,1.784,2.163,0,0,"1st time","1st time"
"31","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r03y11g01b26.jpeg","Red\r05y28g23b30.jpeg",3,5,11,28,1,23,26,30,0,0,0,0,0,0,0,1.865,2.242,0,0,"1st time","1st time"
"32","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Rep\r21y31g06b08.jpeg","Rep\r16y09g06b10.jpeg",21,16,31,9,6,6,8,10,1,1,0,0,1,1,0,2.956,1.929,0,0,"1st time","1st time"
"33","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r10y03g03b07.jpeg","Red\r08y12g20b03.jpeg",10,8,3,12,3,20,7,3,0,0,0,0,1,1,0,2.486,2.382,0,0,"1st time","1st time"
"34","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r01y27g01b01.jpeg","Red\r37y22g19b02.jpeg",1,37,27,22,1,19,1,2,1,1,0,0,1,1,0,2.666,2.012,0,0,"1st time","1st time"
"35","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r15y16g12b03.jpeg","Rep\r19y15g35b05.jpeg",15,19,16,15,12,35,3,5,0,1,-1,0,0,1,0,2.116,2.28,2.225,0,"1st time","1st time"
"36","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r16y09g06b10.jpeg","Red\r04y28g27b06.jpeg",16,4,9,28,6,27,10,6,1,1,0,0,0,0,0,3.032,3.862,0,0,"1st time","1st time"
"37","10","621aac02","abdf9a1f","Two screens","Male","Male",22,23,"Familiar with partner",1,"Red\r09y02g05b02.jpeg","Red\r08y12g20b03.jpeg",9,8,2,12,5,20,2,3,0,0,0,0,0,0,0,1.828,2.323,0,0,"1st time","1st time"
